Psychopathy_1,Psychopathy_2,Psychopathy_3,Psychopathy_4,Psychopathy_5,Psychopathy_6,Psychopathy_7,Psychopathy_8,Psychopathy_9,Psychopathy_10,Psychopathy_11,Psychopathy_12,Psychopathy_13,Psychopathy_14,Psychopathy_15,Psychopathy_16,Psychopathy_17,Psychopathy_18
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1
1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1
1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0
1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1
0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1
1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1
1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1
0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1
1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1
1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1
1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0
1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1
0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0
0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1
1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0
1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1
1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0
1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1
0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0
0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1
1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1
0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1
0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0
1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1
0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1
0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1
1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0
1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1
1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1
1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1
1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1
0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1
1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0
1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0
1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0
1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1
1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0
1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1
1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1
1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1
1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1
1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1
1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1
1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1
1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1
1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1
1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0
1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1
1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0
1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1
1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1
1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1
1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1
0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1
1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1
1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1
1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0
1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1
1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1
1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1
1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0
1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0
1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1
